name,ly_galactic_x,ly_galactic_y,ly_galactic_z
Luyten Palomar (LP) 128-32<BR><B>Right Ascension and Declination:</B> 10h47m40s,-47.7,19.9,78.3
Hipparcos Input Catalog (HIC) 53947,-13.5,-16.9,42.5
Chi(1) Hydrae,13.7,-122.0,70.8
WX Ursae Majoris,-6.974,1.423,14.06
Giclas (G) 163-50,-6.4,-42.0,49.0
Bonner Durchmusterung (BD) +31°2238,-13.7,-4.24,36.1
Epsilon Phoenicis,38.5,-28.4,-132.0
Gliese & Jahreiss (GJ) 1048,-24.9,-14.3,-63.1
Luyten Half-Second (LHS) 2369<BR><B>Proper motion:</B> 0.766 arcsec/yr (236.9&deg; from north),-22.8,5.06,48.1
A would appear as magnitude -14.67,-23.6,26.4,32.2
Gliese & Jahreiss (GJ) 1143,6.88,-60.5,42.0
Luyten Half-Second (LHS) 2378,2.09,-39.7,32.3
A would appear as magnitude -14.64,-57.9,31.9,109.0
SZ Crateris,4.04,-33.7,26.2
Gliese (Gl) 426,-23.2,-30.9,95.4
Giclas (G) 253-49,-36.0,46.0,46.0
Woolley (Wo) 9087,-45.7,4.47,-64.8
At apastron,16.5,-38.6,-0.49
83 Leonis,-4.89,-29.6,49.2
88 Leonis,-12.0,-25.7,69.5
At apastron,-39.6,34.9,72.6
Luyten Half-Second (LHS) 309,7.064,-26.73,14.27
Luyten Half-Second (LHS) 2436<BR><B>Right Ascension and Declination:</B> 11h36m6s,-27.4,11.6,69.9
Luyten Half-Second (LHS) 313,9.564,-26.51,10.66
Gliese (Gl) 444,9.37,-53.0,59.7
Luyten Palomar (LP) 613-50<BR><B>Right Ascension and Declination:</B> 11h45m9s,0.3,-26.0,44.0
Lambda(2) Fornacis,-18.6,-28.6,-76.0
Luyten Palomar (LP) 493-64<BR><B>Right Ascension and Declination:</B> 11h49m45s,-3.0,-19.0,48.0
CF Ursae Majoris,-7.879,1.643,28.76
A would appear as magnitude -8.68,3.62,-23.7,31.6
A would appear as magnitude -19.62,50.4,-130.0,60.8
Henry Draper (HD) 103431,-14.1,-27.4,117.0
A would appear as magnitude -16.76,43.2,-90.6,10.0
Luyten Half-Second (LHS) 5204,9.7,-37.0,41.0
A would appear as magnitude -20.33,61.5,-151.0,83.1
Luyten Two-Tenth (LTT) 4546<BR><B>Right Ascension and Declination:</B> 12h6m55s,14.0,-46.0,57.0
Luyten (L) 326-41<BR><B>Right Ascension and Declination:</B> 12h7m23s,27.1,-56.9,18.2
Woolley (Wo) 9089,-90.1,53.9,-51.6
Luyten Palomar (LP) 794-31<BR><B>Right Ascension and Declination:</B> 12h8m43s,10.7,-29.1,27.9
Luyten Two-Tenth (LTT) 13390<BR><B>Right Ascension and Declination:</B> 12h8m58s,-24.0,24.0,66.0
Giclas (G) 197-50<BR><B>Right Ascension and Declination:</B> 12h9m51s,-16.7,16.7,44.0
B would appear as magnitude -13.07,15.5,-56.0,94.0
Luyten Half-Second (LHS) 2531<BR><B>Right Ascension and Declination:</B> 12h11m46s,2.88,-12.6,24.4
Luyten Half-Second (LHS) 2542,6.67,-29.8,64.0
A would appear as magnitude -15.90,7.2,-23.0,46.0
Giclas (G) 148-59,-7.16,-4.61,89.4
Luyten Palomar (LP) 735-11<BR><B>Right Ascension and Declination:</B> 12h26m18s,9.9,-22.0,31.0
Luyten Half-Second (LHS) 330,-20.6,24.4,63.5
McCook & Sion White Dwarf (WD) 235+64,-36.0,10.0,-41.0
Luyten Half-Second (LHS) 2568,12.0,-27.0,46.0
A would appear as magnitude -19.22,23.5,-48.1,61.4
FL Virginis,1.45,-4.24,13.3
Luyten Two-Tenth (LTT) 4788<BR><B>Right Ascension and Declination:</B> 12h32m58s,30.5,-54.5,33.0
Porrima,9.11,-16.3,33.8
Luyten Palomar (LP) 171-46<BR><B>Right Ascension and Declination:</B> 12h39m17s,-16.0,21.0,69.0
Luyten Two-Tenth (LTT) 4899<BR><B>Right Ascension and Declination:</B> 12h45m31s,27.1,-43.3,40.0
Luyten Palomar (LP) 377-79,3.9,-6.0,81.0
Luyten Palomar (LP) 674-34<BR><B>Right Ascension and Declination:</B> 12h52m21s,42.3,-61.6,113.0
BF Canum Venaticorum,-3.41,7.69,58.4
Gliese (Gl) 105.3,-71.4,-53.5,-195.0
<B>Source for orbit data:</B> Mayor,25.1,-33.1,54.5
A would appear as magnitude -21.41,42.5,-55.1,62.4
A would appear as magnitude -17.13,7.39,-3.52,60.1
Despite the "A" designation in the LDS and GJ catalog numbers,2.1,3.4,52.0
Alpha Comae Berenices,10.5,-5.98,61.9
A would appear as magnitude -19.50,34.7,-47.3,3.42
Luyten Half-Second (LHS) 2714<BR><B>Proper motion:</B> 0.658 arcsec/yr (113.3&deg; from north),7.1,-3.12,35.8
Giclas (G) 164-65,0.71,7.49,42.3
At apastron,-3.91,10.9,29.5
Henry Draper (HD) 116443,18.3,-13.8,47.0
Gliese & Jahreiss (GJ) 1049,3.8,-25.0,-34.0
At apastron,5.45,6.17,59.9
Luyten Half-Second (LHS) 5250<BR><B>Spectral class:</B> M4,16.0,-12.0,33.0
At apastron,6.4,9.9,66.0
VW Comae Berenices,12.8,-2.51,50.1
Giclas (G) 255-37,-52.1,94.5,99.0
A would appear as magnitude -10.09,20.0,25.0,174.0
Giclas (G) 177-45<BR><B>Right Ascension and Declination:</B> 13h35m38s,-6.13,27.1,65.8
A would appear as magnitude -13.56,-8.72,33.9,74.5
Henry Draper (HD) 16673,-36.9,-2.54,-59.7
A would appear as magnitude -12.06,33.9,-32.2,25.9
Tau Boötis,14.6,-0.12,48.7
Luyten Half-Second (LHS) 361,8.43,3.16,38.1
Luyten Half-Second (LHS) 2806,60.4,-57.5,39.5
A would appear as magnitude -16.49,20.0,-9.5,42.0
A would appear as magnitude -17.03,8.47,5.85,43.3
A would appear as magnitude -16.59,35.8,-30.1,28.5
Luyten (L) 259-140<BR><B>Spectral class:</B> M,25.0,-27.0,4.3
B would appear as magnitude -14.24,31.0,0.9,82.0
Luyten Half-Second (LHS) 2850<BR><B>Proper motion:</B> 0.585 arcsec/yr (94.5&deg; from north),-0.11,14.8,33.5
Gliese (Gl) 105.5,-47.0,7.7,-59.0
Luyten Half-Second (LHS) 2876,42.8,-14.0,68.7
Luyten Two-Tenth (LTT) 5581,52.0,-29.0,56.0
Iota Boötis,-4.3,47.0,85.0
Gliese (Gl) 542.1,41.1,-26.5,31.2
Luyten Half-Second (LHS) 2895<BR><B>Spectral class:</B> M6,40.4,-14.4,52.5
Giclas (G) 166-28,17.6,9.71,51.0
Theta Boötis,-1.59,23.95,41.02
Giclas (G) 124-44<BR><B>Right Ascension and Declination:</B> 14h25m24s,30.1,-6.75,42.8
Phi Virginis,80.7,-20.4,106.0
A would appear as magnitude -16.38,99.5,-44.2,92.4
Woolley (Wo) 9094,-60.0,-62.3,-189.0
Alpha Circini,37.45,-37.91,-4.631
Bonner Durchmusterung (BD) +20°3009,30.9,12.6,65.2
Luyten Palomar (LP) 858-23<BR><B>Right Ascension and Declination:</B> 14h41m49s,61.0,-29.0,45.0
54 Hydrae,76.2,-38.6,50.6
Luyten Half-Second (LHS) 379,53.0,-26.0,34.0
Luyten Two-Tenth (LTT) 14398<BR><B>Right Ascension and Declination:</B> 14h48m37s,48.2,5.89,74.4
Xi Boötis,9.815,4.189,19.07
A would appear as magnitude -15.19,13.4,8.46,29.3
Luyten Half-Second (LHS) 3002,25.0,10.0,47.0
Proxima Centauri,2.946,-3.021,-0.169
6 Ceti,1.41,15.7,-59.6
12 Persei,-63.1,43.7,-24.2
Henry Draper (HD) 131976,15.2,-5.906,10.25
A would appear as magnitude -11.38,194.0,-10.3,222.0
i Boötis,4.02,22.4,34.9
Henry Draper (HD) 134440,76.2,-20.2,53.9
Zeta Lupi,93.4,-68.5,10.1
Giclas (G) 136-78,45.4,23.1,77.6
A would appear as magnitude -24.22,40.0,-0.4,39.8
A would appear as magnitude -19.06,92.5,-58.2,13.7
Gliese & Jahreiss (GJ) 2112,46.0,-18.0,22.0
Eta Coronae Borealis,22.9,24.8,50.5
Gliese (Gl) 106,-45.2,19.5,-35.2
Mu(2) Boötis,33.9,58.6,100.0
Giclas (G) 151-61<BR><B>Right Ascension and Declination:</B> 15h25m3s,51.1,-4.67,39.6
Giclas (G) 137-25,26.1,13.7,35.9
At apastron,18.7,38.0,57.2
Luyten Half-Second (LHS) 403<BR><B>Right Ascension and Declination:</B> 15h38m17s,9.29,25.5,35.3
Luyten Palomar (LP) 384-43<BR><B>Right Ascension and Declination:</B> 15h40m57s,50.0,45.0,85.0
Psi Serpentis,35.4,6.25,31.6
Eggen/Greenstein white dwarf (EG) 114<BR><B>Proper motion:</B> 0.468 arcsec/yr (241.9&deg; from north),44.9,-18.5,10.7
Beta Trianguli Australis,31.39,-24.4,-5.557
Giclas (G) 180-9,24.0,35.0,52.0
Iota Horologii,-0.943,-29.58,-47.82
Luyten (L) 20-30<BR><B>Spectral class:</B> M,47.0,-60.0,-34.0
Luyten Palomar (LP) 329-19<BR><B>Right Ascension and Declination:</B> 15h59m46s,31.4,36.4,54.3
Xi Scorpii,80.7,0.038,45.5
Henry Draper (HD) 144088,81.1,0.5,44.5
(A-B) would appear as magnitude -13.79,128.0,-36.9,32.5
Giclas (G) 180-27,14.46,27.62,34.98
Gliese (Gl) 615.1,53.6,27.8,51.6
Sigma Coronae Borealis,28.4,39.8,51.1
Giclas (G) 225-58,-4.62,26.4,22.1
Luyten Half-Second (LHS) 416<BR><B>Spectral class:</B> M5,26.1,-8.15,4.03
Gliese (Gl) 109,-19.8,10.2,-13.3
Woolley (Wo) 9557,28.1,55.0,61.9
Eta Ursae Minoris,-26.1,75.0,56.2
Cordoba Durchmusterung (CD) -38°10980,39.6,-12.9,4.9
Eta Draconis,-2.78,66.2,57.5
Luyten Half-Second (LHS) 3204<BR><B>Spectral class:</B> K3,40.5,28.6,40.1
Gliese (Gl) 629.2,137.0,29.1,71.8
Giclas (G) 225-68,2.15,35.7,30.9
Catalogue Astrographique (AC) +76°5655<BR><B>Right Ascension and Declination:</B> 16h35m47s,-27.3,79.8,57.6
Zeta Herculis,16.4,21.48,22.57
V1054 Ophiuchi,17.1,3.34,6.73
Henry Draper (HD) 17169,-76.2,-134.0,-316.0
A would appear as magnitude -15.12,60.5,-14.9,1.45
Henry Draper (HD) 153525,12.9,42.9,35.4
Giclas (G) 226-44,1.51,65.8,49.1
Mu Draconis,9.55,69.7,52.8
Eta Ophiuchi,81.2,10.1,19.5
Bonner Durchmusterung (BD) +54°1862,7.6,55.3,40.8
A would appear as magnitude -15.33,31.1,11.0,12.3
Luyten Half-Second (LHS) 434<BR><B>Spectral class:</B> M3.5,5.37,15.9,12.0
36 Ophiuchi,19.35,-0.405,2.086
Luyten (L) 845-16,65.0,13.0,17.0
Mu Ceti,-59.1,17.1,-57.6
Luyten Half-Second (LHS) 445<BR><B>Proper motion:</B> 1.053 arcsec/yr (80.5&deg; from north),27.2,-8.51,-2.91
Luyten Half-Second (LHS) 443<BR><B>Right Ascension and Declination:</B> 17h15m34s,22.0,-3.2,0.6
V645 Herculis,19.7,22.7,17.9
Xi Ophiuchi,56.0,3.86,8.2
A would appear as magnitude -8.63,48.5,-18.5,-8.73
At apastron,40.3,53.6,37.6
At apastron,47.4,19.8,15.6
Gliese (Gl) 678.1,26.8,14.8,11.1
Luyten Two-Tenth (LTT) 7003<BR><B>Right Ascension and Declination:</B> 17h33m36s,276.0,-92.0,-48.0
A would appear as magnitude -19.04,60.0,-8.5,-4.1
Tau(1) Eridani,-20.0,-7.65,-40.2
26 Draconis,-0.644,38.71,24.75
Gliese (Gl) 686.1,44.6,47.6,31.0
Luyten (L) 1422-15,49.3,63.1,41.0
A would appear as magnitude -9.89,-0.3,67.0,42.0
Gliese (Gl) 690,-13.9,65.1,40.7
Psi(1) Draconis,-13.8,60.0,37.1
Mu Herculis,15.06,19.58,11.85
Tau Ophiuchi,52.0,19.0,6.7
70 Ophiuchi,14.08,8.195,3.112
Gliese (Gl) 112,-65.0,32.3,-41.8
72 Ophiuchi,64.4,48.3,19.4
99 Herculis,25.71,39.79,19.06
Giclas (G) 204-57,13.8,31.3,14.3
Chi Draconis,-5.403,22.54,12.39
Giclas (G) 205-32,12.6,45.2,18.7
Luyten Half-Second (LHS) 3404<BR><B>Spectral class:</B> M4.5,14.0,19.0,5.5
Henry Draper (HD) 173740,0.118,10.62,4.762
Luyten (L) 273-101,96.4,-31.0,-42.3
A would appear as magnitude -8.48,41.0,-1.7,-13.0
A would appear as magnitude -13.55,38.0,36.0,3.4
Gliese (Gl) 112.1,-37.1,11.4,-34.5
A would appear as magnitude -14.34,35.6,-12.6,-16.5
At apastron,21.19,42.64,10.94
Giclas (G) 229-19<BR><B>Right Ascension and Declination:</B> 18h55m15s,7.0,72.0,28.0
Gamma Coronae Australis,55.1,0.47,-19.3
Zeta Aquilae,56.5,61.0,4.05
Catalogue Astrographique (AC) +20°1463-154,17.1,23.2,2.84
A would appear as magnitude -17.33,11.4,23.5,4.98
Henry Draper (HD) 179957,12.3,76.6,23.9
Luyten Half-Second (LHS) 3448,92.0,72.0,-9.8
Gliese & Jahreiss (GJ) 1052,-41.0,2.9,-55.0
Giclas (G) 185-13,37.6,49.4,4.08
At apastron,46.6,-6.47,-20.8
Luyten Half-Second (LHS) 474,14.55,12.41,-1.103
Catalogue Astrographique (AC) -7°342-397,28.3,15.9,-5.7
Woolley (Wo) 9657,232.0,51.0,-88.6
A would appear as magnitude -12.23,63.1,65.1,-9.83
A would appear as magnitude -14.50,83.4,46.2,-26.1
Theta Cygni,7.309,58.46,14.37
Woolley (Wo) 9664,109.0,-43.2,-67.7
16 Cygni,7.72,68.3,15.9
Gliese (Gl) 10.1,68.4,-75.8,-162.0
Giclas (G) 174-14,-25.5,21.7,-2.73
At apastron,23.8,61.8,4.92
A would appear as magnitude -13.45,15.7,31.3,0.57
Luyten Half-Second (LHS) 3483<BR><B>Proper motion:</B> 0.623 arcsec/yr (131.0&deg; from north),16.7,40.6,2.53
17 Cygni,24.5,63.2,5.26
Omicron Aquilae,40.6,47.6,-9.5
V1581 Cygni,2.94,14.9,2.28
Beta Aquilae,30.1,31.8,-8.96
Luyten Half-Second (LHS) 3503,50.7,27.9,-21.3
Giclas (G) 230-20<BR><B>Right Ascension and Declination:</B> 19h55m30s,-3.1,79.0,22.0
Luyten Half-Second (LHS) 3512<BR><B>Proper motion:</B> 0.863 arcsec/yr (172.5&deg; from north),32.1,-18.1,-23.5
VY Arietis,-114.0,62.9,-60.4
Giclas (G) 125-55,19.94,47.84,-0.581
Luyten Half-Second (LHS) 3523,41.0,7.16,-23.2
Luyten Half-Second (LHS) 487<BR><B>Spectral class:</B> M3.5,16.74,1.636,-10.32
Giclas (G) 143-35,36.2,55.1,-11.0
Giclas (G) 24-9,46.8,53.4,-19.0
Rho Capricorni,76.1,39.2,-49.1
A would appear as magnitude -15.72,27.3,69.6,-9.85
At apastron,35.3,43.9,-22.5
Gliese & Jahreiss (GJ) 1255,-30.0,86.2,31.4
VW Cephei,-28.1,79.9,31.1
Gliese (Gl) 114,-54.7,18.8,-44.8
Giclas (G) 144-26,29.4,59.8,-15.7
AT Microscopii,26.1,5.33,-20.0
A would appear as magnitude -14.23,36.0,18.7,-26.7
Luyten Two-Tenth (LTT) 16065,34.0,48.0,-22.0
Epsilon Cygni,17.4,69.6,-7.15
Luyten Half-Second (LHS) 500<BR><B>Right Ascension and Declination:</B> 20h52m47s,28.6,19.1,-23.0
Luyten Half-Second (LHS) 3601,32.2,30.7,-25.7
V1396 Cygni,6.13,48.7,-3.52
Giclas (G) 187-14,12.0,53.0,-8.3
Gliese (Gl) 816.1,2.77,63.1,-0.63
Gliese (Gl) 115,-23.6,-90.7,-165.0
Eta Capricorni,109.0,59.2,-98.2
(A-B) would appear as magnitude -16.44,37.9,-31.7,-35.9
Gliese (Gl) 819,37.3,27.0,-34.5
61 Cygni,1.438,11.27,-1.189
A would appear as magnitude -10.14,49.9,52.3,-46.7
Delta Equulei,26.2,47.4,-26.4
Tau Cygni,8.44,67.1,-8.85
Luyten Palomar (LP) 341-14<BR><B>Right Ascension and Declination:</B> 21h13m54s,11.0,48.0,-11.0
A would appear as magnitude -5.54,46.0,42.0,-46.0
Luyten Two-Tenth (LTT) 16246<BR><B>Spectral class:</B> M4,21.0,59.0,-22.0
Gliese (Gl) 116,-39.0,23.0,-18.0
Theta Indi,67.8,-19.8,-66.6
Luyten Half-Second (LHS) 3656<BR><B>Proper motion:</B> 0.643 arcsec/yr (236.8&deg; from north),41.0,16.3,-42.2
Luyten (L) 353-9<BR><B>Right Ascension and Declination:</B> 21h23m36s,53.3,-4.26,-55.0
A would appear as magnitude -17.83,14.3,13.7,-16.8
Luyten Half-Second (LHS) 3688,22.0,33.0,-27.0
Luyten Palomar (LP) 286-5<BR><B>Apparent visual magnitude:</B> +12.30,3.15,68.7,-11.5
Giclas (G) 126-30<BR><B>Right Ascension and Declination:</B> 21h41m45s,16.1,48.6,-25.6
Mu(2) Cygni,10.7,68.5,-23.2
At apastron,39.4,-17.2,-44.7
Luyten (L) 427-34,32.0,-0.2,-38.0
Bonner Durchmusterung (BD) +65°585,-61.0,57.0,2.1
Giclas (G) 93-41,29.8,57.8,-45.8
A would appear as magnitude -13.86,48.1,-50.1,-50.8
Gliese (Gl) 838.3,-2.47,94.9,-15.4
A would appear as magnitude -13.91,4.9,63.0,-19.0
McCook & Sion White Dwarf (WD) 2154-512,32.7,-8.87,-40.6
Luyten Half-Second (LHS) 3738,46.0,12.0,-62.0
Luyten Half-Second (LHS) 3750,56.3,-46.3,-64.3
Luyten (L) 283-10<BR><B>Right Ascension and Declination:</B> 22h4m33s,96.9,-28.3,-125.0
Giclas (G) 232-62<BR><B>Right Ascension and Declination:</B> 22h14m10s,-14.1,68.5,-2.02
Luyten Half-Second (LHS) 3788<BR><B>Spectral class:</B> M5e,13.3,17.2,-25.2
EP Eridani,-17.7,-3.868,-28.6
A would appear as magnitude -18.52,25.55,-9.805,-34.95
Nu Indi,51.8,-48.7,-61.9
A would appear as magnitude -14.43,-0.5,49.0,-19.0
A would appear as magnitude -17.14,5.8,60.7,-33.9
Luyten Half-Second (LHS) 3809,22.6,55.8,-57.8
53 Aquarii,27.0,25.5,-54.0
34 Pegasi,31.7,88.3,-88.1
A would appear as magnitude -19.65,8.9,41.0,-32.0
DO Cephei,-3.39,12.6,0.02
A would appear as magnitude -17.24,-16.8,69.1,-4.5
Henry Draper (HD) 17970,-23.1,-31.1,-75.5
Luyten (L) 645-73,21.0,7.9,-40.0
EZ Aquarii,4.12,4.42,-9.29
FK Aquarii,11.1,8.92,-24.3
Giclas (G) 156-35<BR><B>Right Ascension and Declination:</B> 22h37m2s,44.6,56.4,-106.0
Gliese (Gl) 871,39.0,-9.92,-65.4
A would appear as magnitude -15.20,13.2,83.6,-74.0
Xi Pegasi,5.51,39.9,-34.5
Gamma Piscis Austrini,93.6,22.6,-200.0
Sigma Pegasi,10.0,63.2,-59.8
Luyten Palomar (LP) 581-35<BR><B>Right Ascension and Declination:</B> 22h53m23s,10.0,49.0,-53.0
Henry Draper (HD) 17948,-63.6,58.2,3.84
Cordoba Durchmusterung (CD) -24°17445,22.7,15.8,-60.3
2 Andromedae,-37.0,166.0,-48.0
Giclas (G) 275-2,22.3,16.7,-63.0
89 Aquarii,46.0,39.0,-143.0
KZ Andromedae,-23.0,78.0,-16.0
Luyten Palomar (LP) 822-105<BR><B>Right Ascension and Declination:</B> 23h11m32s,17.0,18.0,-58.0
Psi(1) Aquarii,27.9,66.1,-130.0
Luyten Palomar (LP) 1034-93<BR><B>Right Ascension and Declination:</B> 23h14m1s,27.0,-3.9,-62.0
Henry Draper (HD) 219495,42.9,-41.1,-66.1
Viln 82 no 44,14.2,25.4,-61.0
Woolley (Wo) 9106,-106.0,31.0,-88.0
Giclas (G) 190-27,-13.3,44.0,-15.7
EQ Pegasi,-2.59,15.6,-12.9
A would appear as magnitude -19.12,7.3,13.0,-39.0
Luyten Palomar (LP) 463-28<BR><B>Right Ascension and Declination:</B> 23h36m24s,-12.0,61.0,-50.0
B would appear as magnitude -15.65,-13.4,62.3,-52.5
Omega(2) Aquarii,18.5,49.5,-145.0
Catalogue Astrographique (AC) +32°86401,-14.9,49.5,-27.7
A would appear as magnitude -15.83,7.61,29.5,-82.8
A would appear as magnitude -16.64,17.4,6.6,-80.4
A would appear as magnitude -16.86,-16.81,29.83,8.12
Theta Sculptoris,13.3,-3.19,-69.8
Gliese & Jahreiss (GJ) 2028,18.0,-52.0,-52.0
Giclas (G) 273-185,3.8,19.0,-55.0
At apastron,-30.5,78.0,-44.1
85 Pegasi,-11.6,31.3,-22.8
A would appear as magnitude -14.07,21.8,-26.4,-38.8
Regulus,-34.2,-37.0,58.8
Algol,-77.4,45.7,-23.1
Achernar,25.6,-69.6,-123.0
Canopus,-15.1,-98.4,-46.7
Antares,579.0,-78.0,151.0
Spica,122.0,-114.0,202.0
Gliese (Gl) 120.2,-56.3,24.4,-31.5
Polaris,-212.0,322.0,194.0
Bellatrix,-224.0,-69.5,-64.4
Betelgeuse,-397.0,-145.0,-62.0
Rigel,-580.0,-328.0,-306.0
Deneb,150.0,1592.0,52.0
Epsilon Aurigae,-1950.0,591.0,62.0
Cygnus X-1,2263.0,6826.0,353.0
Giclas (G) 192-13,-21.2,10.3,7.29
Giclas (G) 99-49,-15.7,-7.16,-3.08
Gliese & Jahreiss (GJ) 1093,-23.9,-7.02,4.56
Epsilon Fornacis,-35.9,-32.5,-86.4
Giclas (G) 203-47,6.92,17.8,13.9
Gliese & Jahreiss (GJ) 1224,23.9,5.85,0.92
Giclas (G) 258-33,-2.21,20.9,11.1
Luyten Half-Second (LHS) 3799,10.7,9.19,-19.8
Luyten Half-Second (LHS) 288,4.59,-13.9,-0.51
This star was misidentified as BD +48°1318 in the 1991 edition of the Gliese catalog.,-45.0,-0.05,3.8
Alpha(1) Canum Venaticorum,-9.12,18.9,108.0
Henry Draper (HD) 180263,57.2,59.8,-0.7
5 Serpentis,56.1,3.97,57.9
Alpha Persei,-494.0,321.0,-56.0
Tau(3) Eridani,-36.2,-23.9,-74.4
Adhara,-211.0,-367.0,-82.0
Alphard,-72.1,-136.0,86.9
Beta(2) Cygni,174.0,332.0,27.7
Delta Serpentis,135.0,43.3,155.0
Dubhe,-61.3,46.7,96.7
Epsilon Pegasi,230.0,524.0,-354.0
Gamma Draconis,24.5,127.0,71.7
Bonner Durchmusterung (BD) +62°1325,-6.351,18.3,26.69
Gliese (Gl) 86.1,-126.0,-107.0,-507.0
SO25300.5+165258,-9.41731,3.27715,-7.37253
Gliese (Gl) 121.2,-71.7,-6.25,-89.9
Research Consortium on Nearby Stars (RECONS) 3,-14.2,-7.15,-8.08
This red dwarf spins at 27 kilometers per second,2.017,-12.42,3.856
Luyten Palomar (LP) 771-096<P><BR><B><U>Component C:</U></B>,-11.3,-4.23,-18.9
Henry Draper (HD) 26990,-81.2,-8.92,-45.6
AB Doradus,3.741,-40.72,-26.59
V491 Persei,-62.4,22.1,-11.3
Southern Infrared Proper motion Survey (SIPS) 1259-4336,6.4,-9.1,3.8
Wei,64.0,-12.2,6.83
ARICNS lists a distance to this star of 16.2 light-years,-7.82,-11.8,-18.8
Gliese (Gl) 123,-33.6,1.77,-34.5
Henry Draper (HD) 19467,-56.3,-17.3,-84.2
Luyten (L) 947-30,-50.0,-3.0,-60.0
Gliese & Jahreiss (GJ) 1053,-25.8,28.3,9.2
Iota Persei,-27.94,19.56,-4.144
Gliese & Jahreiss (GJ) 1004,-15.7,31.5,-7.45
Gliese (Gl) 125,-35.0,23.0,-7.9
Gliese & Jahreiss (GJ) 1056,5.52,-45.1,-53.4
Woolley (Wo) 9111,-63.0,45.0,-5.6
Luyten (L) 227-140,-0.4,-22.0,-28.0
Woolley (Wo) 9112,-55.6,7.49,-46.0
Gliese (Gl) 131,-24.6,-20.5,-50.6
Gliese (Gl) 132,-11.4,-43.1,-65.8
Gliese (Gl) 134,-48.3,25.0,-15.2
Gliese (Gl) 135,-55.1,-5.02,-58.5
Zeta(1) Reticuli,4.097,-26.52,-29.02
Giclas (G) 158-45,0.2,18.0,-62.0
Kappa Ceti,-22.03,0.518,-20.17
Zeta(2) Reticuli,4.025,-26.44,-28.93
82 Eridani,-3.748,-10.45,-16.35
Henry Draper Extension (HDE) 232781,-60.8,42.1,-4.59
Gliese (Gl) 141,-33.2,-5.54,-36.0
Luyten Half-Second (LHS) 1547,-36.8,-3.25,-37.4
Gliese (Gl) 141.2,-38.7,-42.9,-84.5
Gliese (Gl) 142,-21.5,-12.4,-32.9
Gliese (Gl) 143,5.79,-36.7,-38.3
Hy 207,-44.0,11.0,-25.0
Gliese (Gl) 12,-8.51,23.6,-28.3
Henry Draper (HD) 21809,-43.9,20.8,-12.7
Epsilon Eridani,-6.82,-1.966,-7.733
Gliese (Gl) 145,-7.3,-23.0,-32.0
Gliese (Gl) 146,-5.74,-26.3,-34.2
Gliese & Jahreiss (GJ) 1061,-2.3,-6.87,-9.49
10 Tauri,-33.6,-3.23,-29.4
Wolf 1246,-49.0,13.0,-23.0
Gliese (Gl) 147.1,-57.6,-10.2,-53.7
Henry Draper (HD) 22918,-108.0,-17.4,-97.8
Gliese (Gl) 148,-57.0,-3.1,-45.0
<B>Source for orbit data:</B> Naef,26.05,-37.46,-34.93
Henry Draper (HD) 23295,-11.5,-78.6,-93.9
Delta Eridani,-19.66,-6.506,-21.0
Gliese (Gl) 150.2,-76.2,40.5,-9.76
Woolley (Wo) 9126,-56.0,15.0,-25.0
Gliese (Gl) 151,-50.4,8.52,-27.2
Gliese & Jahreiss (GJ) 1063,-57.0,3.8,-36.0
Gliese (Gl) 152,-15.8,-28.5,-41.7
Gliese (Gl) 154,-42.8,11.2,-17.4
Beta Reticuli,11.3,-71.4,-68.7
Woolley (Wo) 9131,-60.0,14.0,-27.0
Gliese (Gl) 13,22.9,-23.6,-67.5
Tau(6) Eridani,-30.0,-22.9,-44.7
Woolley (Wo) 9132,-65.0,15.0,-29.0
Woolley (Wo) 9134,15.3,-99.4,-94.4
vB 170 Hyades,-119.0,26.0,-50.0
Gliese & Jahreiss (GJ) 1065,-22.1,-5.92,-21.0
Luyten Half-Second (LHS) 1610,-28.0,3.3,-15.0
Henry Draper (HD) 24365,-332.0,87.0,-118.0
Gliese (Gl) 155.2,-55.6,41.0,7.54
Henry Draper (HD) 24496,-59.7,6.09,-30.7
Henry Draper (HD) 24409,-56.7,40.1,6.27
Gliese (Gl) 14,-20.4,40.8,-17.7
Gliese (Gl) 156,-33.5,-10.1,-31.0
Henry Draper (HD) 24892,-63.7,-55.4,-94.3
Gliese (Gl) 156.2,-34.3,35.8,15.9
Gliese & Jahreiss (GJ) 1066,-15.5,-34.1,-43.7
Gliese (Gl) 157.1,-68.0,15.0,-26.0
Luyten Half-Second (LHS) 1617,-48.7,-1.79,-30.6
Gliese (Gl) 158,-55.9,18.4,-12.9
Gliese (Gl) 159,-49.9,-9.26,-36.8
Woolley (Wo) 9142,-120.0,-23.0,-87.2
39 Tauri,-50.2,7.19,-20.0
Woolley (Wo) 9008,-1.64,23.0,-82.1
Rob 256,-43.0,-4.1,-28.0
Woolley (Wo) 9143,-68.0,-68.6,-103.0
Gliese (Gl) 161,-44.2,38.4,14.0
50 Persei,-64.7,22.7,-11.6
Gliese (Gl) 162.1,6.58,-56.1,-50.3
Henry Draper (HD) 26337,-134.0,-49.8,-115.0
Henry Draper (HD) 26018,-57.0,58.5,27.2
Gliese (Gl) 164,-37.8,21.1,0.77
Gliese (Gl) 165.1,-76.2,48.9,9.54
Gliese (Gl) 165.2,-90.8,-15.8,-57.5
