pl_hostname,pl_letter,pl_discmethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_masse,pl_massj,pl_radj,pl_radj,pl_dens,pl_orbincl,st_dist,st_vj,st_teff,st_mass,st_rad,hd_name,hip_name,st_bmvj,pl_rade,pl_disc
GJ 674,b,Radial Velocity,4.6938,0.039,0.2,0,,,,,,4.54,9.37,3600,0.35,,,HIP 85523,1.57,,2007
GJ 676A,b,Radial Velocity,1056.8,1.82,0.326,0,,,,,,16.45,9.58,,0.71,,,HIP 85647,1.44,,2009
GJ 832,b,Radial Velocity,3507,3.46,0.08,0,,,,,,4.93,8.66,3657,0.45,0.48,HD 204961,HIP 106440,1.506,,2008
GJ 849,b,Radial Velocity,1845,2.32,0.05,0,,,,,,9.1,10.37,,0.49,,,HIP 109388,1.5,,2006
GJ 86,b,Radial Velocity,15.76491,0.113,0.0416,0,,,,,,10.9,6.12,5151,0.77,,HD 13445,HIP 10138,0.82,,2000
GJ 876,b,Radial Velocity,61.1166,0.208317,0.0324,0,,,,,59,4.7,10.191,,0.33,,,HIP 113020,1.558,,2000
GJ 876,c,Radial Velocity,30.0881,0.12959,0.25591,0,,,,,59,4.7,10.191,,0.33,,,HIP 113020,1.558,,2000
GJ 876,d,Radial Velocity,1.93778,0.020807,0.207,0,,,,,59,4.7,10.191,,0.33,,,HIP 113020,1.558,,2005
GJ 876,e,Radial Velocity,124.26,0.3343,0.055,0,,,,,59,4.7,10.191,,0.33,,,HIP 113020,1.558,,2010
GQ Lup,b,Imaging,,,,6834.85,21.5,1.8,1.8,,,,12.43,,,,,,1.05,20,2005
GSC 06214-00210,b,Imaging,,,,4450.6,14,,,,,145,,,0.6,,,,,,2010
HAT-P-1,b,Transit,4.4652934,0.05531,0,166.5796,0.524,1.225,1.225,0.345,86.28,155,10.34,5975,1.13,1.11,,,0.56,13.73,2006
HAT-P-11,b,Transit,4.8878162,0.053,0.198,25.7499,0.081,0.422,0.422,1.33,88.5,38,9.472,4780,0.81,0.75,,HIP 97657,1.186,4.73,2009
HAT-P-12,b,Transit,3.2130598,0.0384,0,66.759,0.21,0.936,0.936,0.3192,89,142.5,,4650,0.73,0.7,,,,10.492,2009
HAT-P-13,b,Transit,2.91626,0.0427,0.021,270.5329,0.851,1.272,1.272,0.498,83.4,214,,5653,1.22,1.56,,,,14.258,2009
HAT-P-13,c,Radial Velocity,446.27,,0.6616,0,,,,,,214,,5653,1.22,1.56,,,,,2009
HAT-P-14,b,Transit,4.627669,0.0606,0.107,709.5528,2.232,1.15,1.15,1.82,83.5,205,,6600,1.39,1.47,,,,12.89,2010
HAT-P-15,b,Transit,10.863502,0.0964,0.19,618.6334,1.946,1.072,1.072,1.96,89.1,190,,5568,1.01,1.08,,,,12.016,2010
HAT-P-16,b,Transit,2.77596,0.0413,0.036,1332.9547,4.193,1.289,1.289,2.42,86.6,235,,6158,1.22,1.24,,,,14.448,2010
HAT-P-17,b,Transit,10.338523,0.0882,0.346,168.487,0.53,1.01,1.01,0.64,89.2,90,,5246,0.86,0.84,,,,11.321,2010
HAT-P-17,c,Radial Velocity,1610,2.555,0.086,0,,,,,,90,,5246,0.86,0.84,,,,,2010
