pl_hostname,pl_letter,pl_discmethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_massj,pl_dens,pl_orbincl,st_dist,st_vj,st_teff,st_mass,st_rad,hd_name,hip_name,st_bmvj,pl_rade,pl_disc,pl_pelink
WASP-49,b,Transit,2.7817387,0.0379,0,0.378,0.363,84.89,170,,5600,0.94,0.98,,,,12.498,2012,http://exoplanet.eu/catalog/wasp-49_b/
HAT-P-12,b,Transit,3.2130598,0.0384,0,0.21,0.3192,89,142.5,,4650,0.73,0.7,,,,10.492,2009,http://exoplanet.eu/catalog/hat-p-12_b/
HAT-P-3,b,Transit,2.899736,0.03866,0,0.591,1.29,87.07,138.7,11.577,5185,0.92,0.8,,,0.671,9.27,2007,http://exoplanet.eu/catalog/hat-p-3_b/
TrES-1,b,Transit,3.030065,0.03925,0,0.752,0.769,90,152.3,11.79,5230,0.88,0.81,,,0.78,11.96,2004,http://exoplanet.eu/catalog/tres-1_/
WASP-32,b,Transit,2.718659,0.0394,0.018,3.6,2.926,85.3,,,6100,1.1,1.11,,,,13.227,2010,http://exoplanet.eu/catalog/wasp-32_b/
WASP-26,b,Transit,2.7566004,0.03985,0,1.028,0.649,82.91,250,,5939,1.11,1.3,,,,14.359,2010,http://exoplanet.eu/catalog/wasp-26_b/
CoRoT-12,b,Transit,2.828042,0.04016,0.07,0.917,0.309,85.48,1150,,5675,1.08,1.12,,,,16.141,2010,http://exoplanet.eu/catalog/corot-12_b/
WASP-41,b,Transit,3.052401,0.0402,0,0.92,0.665,87.7,180,,5450,0.93,0.9,,,,13.451,2010,http://exoplanet.eu/catalog/wasp-41_b/
HAT-P-27,b,Transit,3.039586,0.0403,0.078,0.66,0.73,84.7,204,,5300,0.94,0.9,,,,11.635,2011,http://exoplanet.eu/catalog/hat-p-27_wasp-40_b/
WASP-45,b,Transit,3.1260876,0.04054,0,1.007,0.851,84.47,,,5140,0.91,0.94,,,,13.002,2011,http://exoplanet.eu/catalog/wasp-45_b/
HAT-P-5,b,Transit,2.788491,0.04075,0,1.06,0.67,86.75,342,,5960,1.16,1.14,,,,14.034,2007,http://exoplanet.eu/catalog/hat-p-5_b/
HAT-P-16,b,Transit,2.77596,0.0413,0.036,4.193,2.42,86.6,235,,6158,1.22,1.24,,,,14.448,2010,http://exoplanet.eu/catalog/hat-p-16_b/
HAT-P-22,b,Transit,3.21222,0.0414,0.016,2.147,2.11,86.9,82,,5302,0.92,1.04,HD 233731,,,12.106,2010,http://exoplanet.eu/catalog/hat-p-22_b/
HAT-P-30,b,Transit,2.810595,0.0419,0.035,0.711,0.37,83.6,193,,6304,1.24,1.22,,,,15.02,2011,http://exoplanet.eu/catalog/hat-p-30_wasp-51_b/
WASP-16,b,Transit,3.1186009,0.0421,0,0.855,1.104,85.22,,,5700,1.02,0.95,,,,11.3,2009,http://exoplanet.eu/catalog/wasp-16_b/
WASP-6,b,Transit,3.361006,0.0421,0.054,0.503,0.359,88.47,,,5450,0.88,0.87,,,,13.72,2008,http://exoplanet.eu/catalog/wasp-6_b/
Kepler-21,b,Transit,2.785755,0.042507,0,0.033,12.9,82.58,107.88,8.25,6131,,2.04,HD 179070,HIP 94112,0.518,1.635,2011,http://exoplanet.eu/catalog/kepler-21_b/
HAT-P-41,b,Transit,2.694047,0.0426,0,0.8,0.2,87.7,344,,6390,1.42,1.68,,,,18.887,2012,http://exoplanet.eu/catalog/hat-p-41b/
HAT-P-13,b,Transit,2.91626,0.0427,0.021,0.851,0.498,83.4,214,,5653,1.22,1.56,,,,14.258,2009,http://exoplanet.eu/catalog/hat-p-13_b/
HD 149026,b,Radial Velocity,2.8758911,0.04288,0,0.368,0.85,88,83,8.137,6160,1.34,1.54,HD 149026,HIP 80838,0.616,9.113,2005,http://exoplanet.eu/catalog/hd_149026_b/
WASP-35,b,Transit,3.161575,0.04317,0,0.72,0.426,87.96,,,5990,1.07,1.09,,,,14.796,2011,http://exoplanet.eu/catalog/wasp-35_b/
HAT-P-28,b,Transit,3.257215,0.0434,0.051,0.626,0.44,88,395,,5680,1.02,1.1,,,,13.585,2011,http://exoplanet.eu/catalog/hat-p-28_b/
OGLE-TR-10,b,Transit,3.101278,0.0434,,0.62,0.4,90,,14.93,5950,1.14,1.17,,,,14.011,2004,http://exoplanet.eu/catalog/ogle-tr-10_b/
WASP-11,b,Transit,3.7224747,0.0435,0,0.487,0.594,88.6,121.7,,4980,0.83,0.79,,,,11.265,2008,http://exoplanet.eu/catalog/wasp-11_hat-p-10_b/
CoRoT-11,b,Transit,2.99433,0.0436,0,2.33,0.99,83.17,560,,6440,1.27,1.37,,,,16.029,2010,http://exoplanet.eu/catalog/corot-11_b/
HAT-P-4,b,Transit,3.0565114,0.04438,0,0.68,0.403,89.67,314,11.118,5860,1.26,1.6,,,0.713,14.93,2007,http://exoplanet.eu/catalog/hat-p-4_b/
HATS-1,b,Transit,3.446459,0.0444,0.12,1.855,1.03,85.6,303,,5870,0.99,1.04,,,,14.594,2012,http://exoplanet.eu/catalog/hats-1_b/
WASP-37,b,Transit,3.577469,0.0446,0,1.8,1.53,88.82,343,,5800,0.93,1,,,,13.002,2010,http://exoplanet.eu/catalog/wasp-37_b/
Kepler-18,b,Transit,3.504725,0.0447,0,0.022,4.9,84.92,,,5385,,0.98,,,,2,2011,http://exoplanet.eu/catalog/kepler-18_b/
Kepler-43,b,Transit,3.024095,0.0449,0.025,3.23,2.33,84.35,1950,,6041,1.32,1.42,,,,13.45,2011,http://exoplanet.eu/catalog/koi-135_b/
Kepler-20,b,Transit,3.6961219,0.04537,0.32,0.027,6.5,86.5,,,5443,0.9,0.94,,,,1.91,2011,http://exoplanet.eu/catalog/kepler-20_b/
XO-3,b,Transit,3.1915239,0.0454,0.26,11.79,8.1,84.2,174,,6429,1.21,1.38,,,,13.641,2007,http://exoplanet.eu/catalog/xo-3_b/
Kepler-44,b,Transit,3.24674,0.0455,0.021,1.02,0.65,83.78,2250,,5757,1.19,1.52,,,,13.9,2011,http://exoplanet.eu/catalog/koi-204_b/
WASP-28,b,Transit,3.408821,0.0455,0.046,0.91,,89.1,,,,,,,,,12.554,2010,http://exoplanet.eu/catalog/wasp-28_b/
Kepler-4,b,Transit,3.21346,0.0456,0,0.077,1.91,89.76,,,5858,,1.27,,,,4.002,2010,http://exoplanet.eu/catalog/kepler-4_b/
Kepler-6,b,Transit,3.234723,0.04567,0,0.669,0.352,86.8,,,5826,,1.08,,,,14.83,2010,http://exoplanet.eu/catalog/kepler-6_b/
WASP-29,b,Transit,3.922727,0.0457,0.03,0.244,0.65,88.8,70,,4800,0.82,0.81,,,,8.878,2010,http://exoplanet.eu/catalog/wasp-29_b/
CoRoT-17,b,Transit,3.7681,0.0461,0,2.43,2.82,88.34,920,,5740,1.04,1.59,,,,11.433,2011,http://exoplanet.eu/catalog/corot-17_b/
Lupus-TR-3,b,Transit,3.91405,0.0464,0,0.81,1.4,88.3,2000,,5000,0.87,0.82,,,,9.976,2007,
HAT-P-24,b,Transit,3.35524,0.0465,0.067,0.685,0.44,88.6,396,,6373,1.19,1.32,,,,13.922,2010,http://exoplanet.eu/catalog/hat-p-24_b/
WASP-31,b,Transit,3.4059096,0.04659,0,0.478,0.172,84.41,360,,6302,1.16,1.25,,,,17.363,2010,http://exoplanet.eu/catalog/wasp-31_b/
HAT-P-19,b,Transit,4.008778,0.0466,0.067,0.292,,88.2,215,,4990,0.84,0.82,,,,12.689,2010,http://exoplanet.eu/catalog/hat-p-19_b/
HAT-P-25,b,Transit,3.652836,0.0466,0.032,0.567,0.42,87.6,297,,5500,1.01,0.96,,,,13.339,2010,http://exoplanet.eu/catalog/hat-p-25_b/
OGLE-TR-111,b,Transit,4.0161,0.04689,,0.55,0.59,88.25,,15.55,5040,0.85,0.83,,,,11.781,2004,http://exoplanet.eu/catalog/ogle-tr-111_b/
WASP-22,b,Transit,3.5327313,0.04698,0,0.588,0.503,88.26,300,,5958,1.11,1.22,,,,12.98,2010,http://exoplanet.eu/catalog/wasp-22_b/
