# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Oct 20 21:07:36 2012
#
pl_hostname,pl_letter,pl_discmethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_massj,pl_radj,pl_radj,pl_dens,pl_orbincl,st_dist,st_vj,st_teff,st_mass,st_rad,hd_name,hip_name,st_bmvj,pl_rade,pl_disc
HD 219449,b,Radial Velocity,182.00000000,0.300000,,,,,,,45.52,4.250,,,,HD 219449,HIP 114855,1.110,,2003
HD 219828,b,Radial Velocity,3.83350000,0.052000,0.000000,,,,,,81.10,8.008,,,,HD 219828,HIP 115100,0.668,,2007
HD 220689,b,Radial Velocity,2191.00000000,,0.200000,1.18622,,,,,45.23,7.758,,,,HD 220689,HIP 115662,0.598,,2011
HD 220773,b,Radial Velocity,3724.70000000,4.940000,0.510000,,,,,,48.43,7.096,,,,HD 220773,HIP 115697,0.613,,2012
HD 221287,b,Radial Velocity,456.10000000,1.250000,0.080000,,,,,,52.88,7.807,,,,HD 221287,HIP 116084,0.505,,2007
HD 222582,b,Radial Velocity,572.38000000,1.350000,0.725000,,,,,,41.95,7.691,,,,HD 222582,HIP 116906,0.648,,1999
HD 224693,b,Radial Velocity,26.73000000,0.233000,0.050000,,,,,,94.07,8.216,,,,HD 224693,HIP 118319,0.656,,2006
HD 22781,b,Radial Velocity,528.07000000,1.167000,0.819100,,,,,,31.79,8.766,,,,HD 22781,HIP 17187,0.861,,2011
HD 23079,b,Radial Velocity,738.45900000,1.650000,0.100000,,,,,,34.60,7.105,,,,HD 23079,HIP 17096,0.580,,2001
HD 23127,b,Radial Velocity,1214.00000000,2.400000,0.440000,,,,,,89.13,8.550,,,,HD 23127,HIP 17054,0.707,,2007
HD 231701,b,Radial Velocity,141.60000000,0.530000,0.100000,,,,,,108.46,8.970,,,,HD 231701,HIP 96078,0.517,,2007
HD 23596,b,Radial Velocity,1558.00000000,2.720000,0.314000,,,,,,51.97,7.244,,,,HD 23596,HIP 17747,0.608,,2002
HD 240210,b,Radial Velocity,501.75000000,1.330000,0.150000,,,,,,,,,,,HD 240210,,,,2009
HD 240237,b,Radial Velocity,745.70000000,1.900000,0.400000,,,,,,307.69,,,,,HD 240237,HIP 114840,,,2010
HD 25171,b,Radial Velocity,1845.00000000,3.020000,0.080000,,,,,,56.05,7.778,,,,HD 25171,HIP 18387,0.517,,2010
HD 2638,b,Radial Velocity,3.44420000,0.044000,0.000000,,,,,,53.71,9.375,,,,HD 2638,HIP 2350,0.955,,2005
HD 27442,b,Radial Velocity,423.84100000,1.180000,0.070000,,,,,,18.24,4.440,,,,HD 27442,HIP 19921,1.080,,2000
HD 27631,b,Radial Velocity,2220.00000000,,0.170000,1.70004,,,,,44.54,8.243,,,,HD 27631,HIP 20199,0.672,,2011
HD 27894,b,Radial Velocity,17.99100000,0.122000,0.049000,,,,,,42.37,9.349,,,,HD 27894,HIP 20277,1.042,,2005
HD 28185,b,Radial Velocity,383.00000000,1.030000,0.070000,,,,,,39.56,7.810,,,,HD 28185,HIP 20723,0.715,,2001
HD 28254,b,Radial Velocity,1117.00000000,,,,,,,,56.18,7.684,,,,HD 28254,HIP 20606,0.756,,2009
HD 285968,b,Radial Velocity,8.78360000,0.066000,0.000000,,,,,,9.42,9.980,,,,,HIP 21932,1.530,,2007
HD 28678,b,Radial Velocity,387.10000000,1.240000,0.168000,,,,,,168.92,8.440,,,,HD 28678,HIP 21109,0.994,,2011
HD 290327,b,Radial Velocity,2443.00000000,,,,,,,,54.92,8.944,,,,,HIP 25191,0.788,,2009
HD 30177,b,Radial Velocity,2819.65400000,3.860000,0.300000,,,,,,54.71,8.374,,,,HD 30177,HIP 21850,0.807,,2002
HD 30562,b,Radial Velocity,1157.00000000,2.300000,0.760000,,,,,,26.50,5.780,,,,HD 30562,HIP 22336,0.620,,2009
HD 30856,b,Radial Velocity,912.00000000,2.000000,0.240000,,,,,,121.07,7.911,,,,HD 30856,HIP 22491,0.959,,2011
HD 31253,b,Radial Velocity,466.00000000,1.260000,0.300000,,,,,,53.82,7.133,,,,HD 31253,HIP 22826,0.580,,2010
HD 31527,b,Radial Velocity,16.54600000,0.125300,0.130000,,,,,,38.01,7.484,,,,HD 31527,HIP 22905,0.588,,2011
HD 31527,c,Radial Velocity,51.28400000,0.266500,0.110000,,,,,,38.01,7.484,,,,HD 31527,HIP 22905,0.588,,2011
HD 31527,d,Radial Velocity,274.49000000,0.818100,0.380000,,,,,,38.01,7.484,,,,HD 31527,HIP 22905,0.588,,2011
HD 32518,b,Radial Velocity,157.54000000,0.590000,0.010000,,,,,,117.37,6.421,,,,HD 32518,HIP 24003,1.109,,2009
HD 330075,b,Radial Velocity,3.36900000,0.043000,0.000000,,,,,,50.20,9.334,,,,,HIP 77517,0.898,,2004
HD 33142,b,Radial Velocity,326.60000000,1.060000,0.220000,,,,,,136.80,7.956,,,,HD 33142,HIP 23844,0.948,,2011
HD 33283,b,Radial Velocity,18.17900000,0.168000,0.480000,,,,,,86.88,8.051,,,,HD 33283,HIP 23889,0.624,,2006
HD 33564,b,Radial Velocity,388.00000000,1.100000,0.340000,,,,,,20.98,5.084,,,,HD 33564,HIP 25110,0.480,,2005
HD 34445,b,Radial Velocity,1049.00000000,2.070000,0.270000,,,,,,45.01,7.328,,,,HD 34445,HIP 24681,0.641,,2010
HD 3651,b,Radial Velocity,62.21800000,0.295000,0.596000,,,,,,11.11,5.860,,,,HD 3651,HIP 3093,0.850,,2003
HD 37124,b,Radial Velocity,154.46000000,0.530000,0.055000,,,,,,33.24,7.650,,,,HD 37124,HIP 26381,0.694,,1999
HD 37124,c,Radial Velocity,2295.00000000,3.190000,0.200000,,,,,,33.24,7.650,,,,HD 37124,HIP 26381,0.694,,2003
HD 37124,d,Radial Velocity,843.60000000,1.640000,0.140000,,,,,,33.24,7.650,,,,HD 37124,HIP 26381,0.694,,2005
HD 37605,b,Radial Velocity,55.00000000,0.250000,0.677000,,,,,,42.88,8.661,,,,HD 37605,HIP 26664,0.862,,2004
HD 38283,b,Radial Velocity,363.20000000,1.020000,0.410000,0.34000,,,,,37.78,6.696,,,,HD 38283,HIP 26380,0.564,,2011
HD 38529,b,Radial Velocity,14.30900000,0.129000,0.290000,,,,,,42.43,5.950,,,,HD 38529,HIP 27253,0.780,,2000
HD 38529,c,Radial Velocity,2174.30000000,3.680000,0.360000,,,,,,42.43,5.950,,,,HD 38529,HIP 27253,0.780,,2002
HD 38801,b,Radial Velocity,696.30000000,1.700000,0.000000,,,,,,99.40,8.269,,,,HD 38801,HIP 27384,0.874,,2010
HD 38858,b,Radial Velocity,407.15000000,1.037600,0.270000,,,,,,15.56,5.970,,,,HD 38858,HIP 27435,0.640,,2011
HD 39091,b,Radial Velocity,2063.81800000,3.290000,0.620000,,,,,,18.21,5.650,,,,HD 39091,HIP 26394,0.600,,2001
HD 39194,b,Radial Velocity,5.63630000,0.051900,0.200000,,,,,,25.59,8.075,,,,HD 39194,HIP 27080,0.760,,2011
HD 39194,c,Radial Velocity,14.02500000,0.095400,0.110000,,,,,,25.59,8.075,,,,HD 39194,HIP 27080,0.760,,2011
HD 39194,d,Radial Velocity,33.94100000,0.172000,0.200000,,,,,,25.59,8.075,,,,HD 39194,HIP 27080,0.760,,2011
HD 40307,b,Radial Velocity,4.31150000,0.047000,0.000000,,,,,,12.83,7.150,,,,HD 40307,HIP 27887,0.959,,2008
HD 40307,c,Radial Velocity,9.62000000,0.081000,0.000000,,,,,,12.83,7.150,,,,HD 40307,HIP 27887,0.959,,2008
HD 40307,d,Radial Velocity,20.46000000,0.134000,0.000000,,,,,,12.83,7.150,,,,HD 40307,HIP 27887,0.959,,2008
HD 40979,b,Radial Velocity,267.20000000,0.811000,0.230000,,,,,,33.33,6.735,,,,HD 40979,HIP 28767,0.557,,2002
HD 41004A,b,Radial Velocity,963.00000000,1.640000,0.390000,,,,,,43.03,8.621,,,,HD 41004A,HIP 28393A,0.864,,2004
HD 41004B,b,Radial Velocity,1.32830000,0.017700,0.081000,,,,,,43.03,,,,,HD 41004B,HIP 28393B,,,2004
HD 4113,b,Radial Velocity,526.62000000,1.280000,0.903000,,,,,,44.05,7.881,,,,HD 4113,HIP 3391,0.726,,2007
HD 4203,b,Radial Velocity,431.88000000,1.164000,0.519000,,,,,,77.82,8.687,,,,HD 4203,HIP 3502,0.758,,2001
HD 4208,b,Radial Velocity,829.00000000,1.700000,0.040000,,,,,,32.70,7.783,,,,HD 4208,HIP 3479,0.678,,2001
HD 4308,b,Radial Velocity,15.60900000,0.118000,0.270000,,,,,,21.85,6.560,,,,HD 4308,HIP 3497,0.650,,2005
HD 4313,b,Radial Velocity,356.00000000,1.190000,0.041000,,,,,,131.41,7.822,,,,HD 4313,HIP 3574,0.964,,2010
HD 43197,b,Radial Velocity,327.80000000,,,,,,,,54.94,8.953,,,,HD 43197,HIP 29550,0.834,,2009
HD 43691,b,Radial Velocity,36.96000000,0.240000,0.140000,,,,,,93.20,8.024,,,,HD 43691,HIP 30057,0.568,,2007
HD 43848,b,Radial Velocity,2371.00000000,3.400000,0.690000,,,,,,37.05,8.595,,,,HD 43848,HIP 29804,0.964,,2008
HD 44219,b,Radial Velocity,472.00000000,,,,,,,,50.43,7.698,,,,HD 44219,HIP 30114,0.661,,2009
HD 45184,b,Radial Velocity,5.88720000,0.063800,0.300000,,,,,,22.04,6.390,,,,HD 45184,HIP 30503,0.620,,2011
HD 45350,b,Radial Velocity,890.76000000,1.920000,0.778000,,,,,,48.95,7.885,,,,HD 45350,HIP 30860,0.745,,2004
HD 45364,b,Radial Velocity,226.93000000,0.681300,0.168400,,,,,,32.58,8.062,,,,HD 45364,HIP 30579,0.753,,2009
HD 45364,c,Radial Velocity,342.85000000,0.897200,0.097400,,,,,,32.58,8.062,,,,HD 45364,HIP 30579,0.753,,2009
HD 45652,b,Radial Velocity,43.60000000,0.230000,0.380000,,,,,,36.14,8.127,,,,HD 45652,HIP 30905,0.836,,2008
HD 46375,b,Radial Velocity,3.02400000,0.041000,0.040000,,,,,,33.41,7.912,,,,HD 46375,HIP 31246,0.884,,2000
HD 47186,b,Radial Velocity,4.08450000,0.050000,0.038000,,,,,,37.84,7.626,,,,HD 47186,HIP 31540,0.733,,2008
HD 47186,c,Radial Velocity,1353.60000000,2.395000,0.249000,,,,,,37.84,7.626,,,,HD 47186,HIP 31540,0.733,,2008
HD 47536,b,Radial Velocity,430.00000000,,0.200000,,,,,,121.36,5.280,,,,HD 47536,HIP 31688,1.180,,2003
HD 47536,c,Radial Velocity,2500.00000000,,,,,,,,121.36,5.280,,,,HD 47536,HIP 31688,1.180,,2007
HD 48265,b,Radial Velocity,700.00000000,1.510000,0.180000,,,,,,87.41,8.032,,,,HD 48265,HIP 31895,0.750,,2008
HD 49674,b,Radial Velocity,4.94370000,0.058000,0.230000,,,,,,40.73,8.097,,,,HD 49674,HIP 32916,0.730,,2002
HD 50499,b,Radial Velocity,2582.70000000,3.860000,0.230000,,,,,,47.26,7.195,,,,HD 50499,HIP 32970,0.621,,2005
HD 50554,b,Radial Velocity,1279.00000000,2.380000,0.420000,,,,,,31.03,6.844,,,,HD 50554,HIP 33212,0.568,,2002
HD 51608,b,Radial Velocity,14.07000000,0.105900,0.150000,,,,,,34.07,8.155,,,,HD 51608,HIP 33229,0.780,,2011
HD 51608,c,Radial Velocity,95.41500000,0.379100,0.410000,,,,,,34.07,8.155,,,,HD 51608,HIP 33229,0.780,,2011
HD 52265,b,Radial Velocity,118.96000000,0.490000,0.290000,,,,,,28.07,6.300,,,,HD 52265,HIP 33719,0.570,,2000
HD 5319,b,Radial Velocity,675.00000000,1.750000,0.120000,,,,,,100.00,8.047,,,,HD 5319,HIP 4297,1.014,,2007
HD 5388,b,Radial Velocity,777.00000000,,,,,,,,53.28,6.722,,,,HD 5388,HIP 4311,0.488,,2009
HD 5608,b,Radial Velocity,792.60000000,1.900000,0.190000,1.40000,,,,,58.20,5.980,4854.00,1.55,5.50,HD 5608,HIP 4552,1.016,,2012
HD 5891,b,Radial Velocity,177.11000000,0.760000,0.066000,,,,,,150.60,8.114,,,,HD 5891,HIP 4715,0.999,,2011
HD 59686,b,Radial Velocity,303.00000000,0.911000,0.000000,,,,,,92.51,5.442,,,,HD 59686,HIP 36616,1.133,,2003
HD 60532,b,Radial Velocity,201.83000000,0.770000,0.278000,,,,,20.000,25.70,4.450,,,,HD 60532,HIP 36795,0.510,,2008
HD 60532,c,Radial Velocity,607.06000000,1.580000,0.038000,,,,,20.000,25.70,4.450,,,,HD 60532,HIP 36795,0.510,,2008
HD 62509,b,Radial Velocity,589.64000000,1.690000,0.020000,,,,,,10.34,1.140,,,,HD 62509,HIP 37826,1.000,,2006
HD 63454,b,Radial Velocity,2.81782200,0.036000,0.000000,,,,,,35.80,9.362,,,,HD 63454,HIP 37284,1.060,,2005
HD 63765,b,Radial Velocity,358.00000000,0.940000,0.240000,,,,,,32.62,8.104,,,,HD 63765,HIP 38041,0.744,,2009
HD 6434,b,Radial Velocity,22.09000000,0.150000,0.300000,,,,,,40.32,7.730,,,,HD 6434,HIP 5054,0.601,,2000
HD 65216,b,Radial Velocity,613.10000000,1.370000,0.410000,,,,,,35.59,7.964,,,,HD 65216,HIP 38558,0.690,,2003
HD 65216,c,Radial Velocity,5542.00000000,,0.150000,2.24029,,,,,35.59,7.964,,,,HD 65216,HIP 38558,0.690,,2011
HD 66428,b,Radial Velocity,1973.00000000,3.180000,0.465000,,,,,,55.04,8.258,,,,HD 66428,HIP 39417,0.709,,2006
HD 6718,b,Radial Velocity,2496.00000000,,,,,,,,55.01,8.450,,,,HD 6718,HIP 5301,0.638,,2009
HD 68988,b,Radial Velocity,6.27600000,0.071000,0.140000,,,,,,58.82,8.188,,,,HD 68988,HIP 40687,0.650,,2001
HD 69830,b,Radial Velocity,8.66700000,0.078500,0.100000,,,,,,12.58,6.000,,,,HD 69830,HIP 40693,0.760,,2006
HD 69830,c,Radial Velocity,31.56000000,0.186000,0.130000,,,,,,12.58,6.000,,,,HD 69830,HIP 40693,0.760,,2006
HD 69830,d,Radial Velocity,197.00000000,0.630000,0.070000,,,,,,12.58,6.000,,,,HD 69830,HIP 40693,0.760,,2006
HD 70573,b,Radial Velocity,851.80000000,1.760000,0.400000,,,,,,,11.424,,,,HD 70573,,0.928,,2007
HD 70642,b,Radial Velocity,2231.00000000,3.300000,0.100000,,,,,,28.76,7.180,,,,HD 70642,HIP 40952,0.710,,2003
HD 7199,b,Radial Velocity,615.00000000,1.360000,0.190000,,,,,,35.88,8.027,,,,HD 7199,HIP 5529,0.865,,2011
HD 72659,b,Radial Velocity,3177.40000000,4.160000,0.200000,,,,,,51.36,7.465,,,,HD 72659,HIP 42030,0.611,,2002
HD 73256,b,Radial Velocity,2.54858000,0.037000,0.030000,,,,,,36.52,8.059,,,,HD 73256,HIP 42214,0.783,,2003
HD 73267,b,Radial Velocity,1260.00000000,2.198000,0.256000,,,,,,53.05,8.870,,,,HD 73267,HIP 42202,0.792,,2008
HD 73526,b,Radial Velocity,188.30000000,0.660000,0.190000,,,,,,94.61,8.971,,,,HD 73526,HIP 42282,0.733,,2002
HD 73526,c,Radial Velocity,377.80000000,1.050000,0.140000,,,,,,94.61,8.971,,,,HD 73526,HIP 42282,0.733,,2006
HD 73534,b,Radial Velocity,1800.00000000,3.150000,0.046000,,,,,,96.99,8.237,,,,HD 73534,HIP 42446,0.976,,2009
HD 74156,b,Radial Velocity,51.65000000,0.294000,0.640000,,,,,,64.56,7.614,,,,HD 74156,HIP 42723,0.581,,2003
HD 74156,c,Radial Velocity,2476.00000000,3.850000,0.430000,,,,,,64.56,7.614,,,,HD 74156,HIP 42723,0.581,,2003
HD 74156,d,Radial Velocity,346.60000000,1.010000,0.250000,,,,,,64.56,7.614,,,,HD 74156,HIP 42723,0.581,,2007
HD 7449,b,Radial Velocity,1275.00000000,2.300000,0.820000,,,,,,38.52,7.483,,,,HD 7449,HIP 5806,0.594,,2011
HD 7449,c,Radial Velocity,4046.00000000,4.960000,0.530000,,,,,,38.52,7.483,,,,HD 7449,HIP 5806,0.594,,2011
HD 75289,b,Radial Velocity,3.51000000,0.046000,0.054000,,,,,,28.94,6.370,,,,HD 75289,HIP 43177,0.580,,1999
HD 75898,b,Radial Velocity,418.20000000,1.190000,0.100000,,,,,,80.58,8.033,,,,HD 75898,HIP 43674,0.634,,2007
HD 76700,b,Radial Velocity,3.97100000,0.049000,0.130000,,,,,,59.70,8.155,,,,HD 76700,HIP 43686,0.722,,2002
HD 77338,b,Radial Velocity,5.73610000,0.061400,0.090000,0.05000,,,,,40.75,8.591,5370.00,0.93,0.88,HD 77338,HIP 44291,0.876,,2012
HD 7924,b,Radial Velocity,5.39780000,0.057000,0.170000,,,,,,16.82,7.167,,,,HD 7924,HIP 6379,0.850,,2009
HD 79498,b,Radial Velocity,1966.10000000,3.130000,0.590000,,,,,,48.64,8.020,,,,HD 79498,HIP 45406,0.707,,2012
HD 80606,b,Radial Velocity,111.43570000,0.449000,0.933200,3.94000,0.980,0.980,4.82800,89.320,58.40,9.001,5645.00,0.97,0.98,HD 80606,HIP 45982,0.778,10.985,2003
HD 81040,b,Radial Velocity,1001.70000000,1.940000,0.526000,,,,,,32.56,7.716,,,,HD 81040,HIP 46076,0.663,,2005
HD 81688,b,Radial Velocity,184.02000000,0.810000,0.000000,,,,,,88.26,5.393,,,,HD 81688,HIP 46471,0.996,,2008
HD 82886,b,Radial Velocity,705.00000000,1.650000,0.270000,,,,,,112.23,7.625,,,,HD 82886,HIP 47087,0.868,,2011
HD 82943,b,Radial Velocity,441.20000000,1.180000,0.219000,,,,,,27.46,6.530,,,,HD 82943,HIP 47007,0.637,,2003
HD 82943,c,Radial Velocity,219.30000000,0.747000,0.359000,,,,,,27.46,6.530,,,,HD 82943,HIP 47007,0.637,,2003
HD 83443,b,Radial Velocity,2.98562500,0.040600,0.008000,,,,,,43.53,8.222,,,,HD 83443,HIP 47202,0.831,,2002
HD 8535,b,Radial Velocity,1313.00000000,,,,,,,,56.34,7.686,,,,HD 8535,HIP 6511,0.565,,2009
HD 85390,b,Radial Velocity,781.00000000,,,,,,,,33.96,8.526,,,,HD 85390,HIP 48235,0.846,,2009
HD 85512,b,Radial Velocity,58.43000000,0.260000,0.110000,,,,,,11.15,7.670,,,,HD 85512,HIP 48331,1.190,,2011
HD 8574,b,Radial Velocity,227.00000000,0.757000,0.297000,,,,,,44.15,7.112,,,,HD 8574,HIP 6643,0.574,,2003
HD 86081,b,Radial Velocity,2.13750000,0.039000,0.008000,,,,,,91.16,8.701,,,,HD 86081,HIP 48711,0.641,,2006
HD 86226,b,Radial Velocity,1534.00000000,2.600000,0.730000,,,,,,42.48,7.932,,,,HD 86226,HIP 48739,0.632,,2010
HD 86264,b,Radial Velocity,1475.00000000,2.860000,0.700000,,,,,,72.57,7.407,,,,HD 86264,HIP 48780,0.511,,2009
HD 8673,b,Radial Velocity,1634.00000000,3.020000,0.723000,,,,,,38.26,6.341,,,,HD 8673,HIP 6702,0.474,,2010
HD 87883,b,Radial Velocity,2754.00000000,3.600000,0.530000,,,,,,18.06,7.551,,,,HD 87883,HIP 49699,0.988,,2009
HD 88133,b,Radial Velocity,3.41600000,0.047000,0.133000,,,,,,74.46,8.001,,,,HD 88133,HIP 49813,0.836,,2004
HD 89307,b,Radial Velocity,2157.00000000,3.270000,0.241000,,,,,,30.88,7.009,,,,HD 89307,HIP 50473,0.590,,2004
HD 89744,b,Radial Velocity,256.60500000,0.890000,0.670000,,,,,,38.99,5.720,,,,HD 89744,HIP 50786,0.529,,2000
HD 90156,b,Radial Velocity,49.80000000,,,,,,,,22.09,6.932,,,,HD 90156,HIP 50921,0.663,,2009
HD 92788,b,Radial Velocity,325.81000000,0.970000,0.334000,,,,,,32.32,7.300,,,,HD 92788,HIP 52409,0.712,,2000
HD 93083,b,Radial Velocity,143.58000000,0.477000,0.140000,,,,,,28.90,8.318,,,,HD 93083,HIP 52521,0.955,,2005
HD 93385,b,Radial Velocity,13.18600000,0.111600,0.150000,,,,,,42.52,7.486,,,,HD 93385,HIP 52676,0.600,,2011
HD 93385,c,Radial Velocity,46.02500000,0.257000,0.240000,,,,,,42.52,7.486,,,,HD 93385,HIP 52676,0.600,,2011
HD 9446,b,Radial Velocity,30.05200000,0.189000,0.200000,,,,,,52.85,8.369,,,,HD 9446,HIP 7245,0.640,,2010
HD 9446,c,Radial Velocity,192.90000000,0.654000,0.060000,,,,,,52.85,8.369,,,,HD 9446,HIP 7245,0.640,,2010
HD 95089,b,Radial Velocity,507.00000000,1.510000,0.157000,,,,,,149.03,7.946,,,,HD 95089,HIP 53666,0.949,,2010
HD 96063,b,Radial Velocity,361.10000000,0.990000,0.280000,,,,,,132.80,8.254,,,,HD 96063,HIP 54158,0.838,,2011
HD 96127,b,Radial Velocity,647.30000000,1.400000,0.300000,,,,,,221.24,7.407,,,,HD 96127,HIP 54232,1.517,,2011
HD 96167,b,Radial Velocity,498.90000000,1.300000,0.710000,,,,,,84.03,8.080,,,,HD 96167,HIP 54195,0.739,,2009
HD 96700,b,Radial Velocity,8.12560000,0.077400,0.100000,,,,,,26.21,6.540,,,,HD 96700,HIP 54400,0.600,,2011
HD 96700,c,Radial Velocity,103.49000000,0.422000,0.370000,,,,,,26.21,6.540,,,,HD 96700,HIP 54400,0.600,,2011
HD 97658,b,Radial Velocity,9.49400000,0.083100,,,,,,,21.30,7.762,,,,HD 97658,HIP 54906,0.843,,2010
HD 98219,b,Radial Velocity,436.90000000,1.230000,0.210000,,,,,,150.38,8.033,,,,HD 98219,HIP 55174,0.958,,2011
HD 98649,b,Radial Velocity,10400.00000000,,0.860000,7.00089,,,,,42.77,7.991,,,,HD 98649,HIP 55409,0.656,,2011
HD 99109,b,Radial Velocity,439.30000000,1.105000,0.090000,,,,,,60.46,9.061,,,,HD 99109,HIP 55664,0.894,,2006
HD 99492,b,Radial Velocity,17.05400000,0.121860,0.130000,,,,,,17.99,6.140,,,,HD 99492,HIP 55848,0.800,,2004
HD 99492,c,Radial Velocity,4970.00000000,5.400000,0.100000,,,,,,17.99,6.140,,,,HD 99492,HIP 55848,0.800,,2010
HD 99706,b,Radial Velocity,868.00000000,2.140000,0.365000,,,,,,130.89,7.637,,,,HD 99706,HIP 55994,1.008,,2011
HIP 11952,b,Radial Velocity,290.00000000,0.810000,0.270000,2.93000,,,,,115.30,9.854,5960.00,0.83,1.60,HD 16031,HIP 11952,0.324,,2012
HIP 11952,c,Radial Velocity,6.95000000,0.070000,0.350000,0.78000,,,,,115.30,9.854,5960.00,0.83,1.60,HD 16031,HIP 11952,0.324,,2012
HIP 12961,b,Radial Velocity,57.00000000,,,,,,,,23.80,10.294,,,,,HIP 12961,1.399,,2009
HIP 13044,b,Radial Velocity,16.20000000,0.116000,0.250000,,,,,,223.21,9.982,,,,,HIP 13044,0.443,,2010
HIP 14810,b,Radial Velocity,6.67385500,0.069200,0.142700,,,,,,52.88,8.500,,,,,HIP 14810,0.757,,2006
HIP 14810,c,Radial Velocity,147.73000000,0.545000,0.164000,,,,,,52.88,8.500,,,,,HIP 14810,0.757,,2006
HIP 14810,d,Radial Velocity,952.00000000,1.890000,0.173000,,,,,,52.88,8.500,,,,,HIP 14810,0.757,,2009
HIP 34693,b,Radial Velocity,305.00000000,,,18.10000,,,,,92.51,4.420,,,,HD 54719,HIP 34693,1.260,,2004
HIP 5158,b,Radial Velocity,345.72000000,0.890000,0.520000,,,,,,44.80,10.167,,,,,HIP 5158,1.106,,2009
HIP 5158,c,Radial Velocity,9017.80000000,7.700000,0.140000,15.04000,,,,,44.80,10.167,,,,,HIP 5158,1.106,,2011
HIP 57050,b,Radial Velocity,41.39700000,0.163506,0.314000,,,,,,11.03,11.920,,,,,HIP 57050,1.520,,2010
HIP 57274,b,Radial Velocity,8.13520000,0.070000,0.187000,,,,,,25.87,8.984,,,,,HIP 57274,1.122,,2011
HIP 57274,c,Radial Velocity,32.03000000,0.178000,0.050000,,,,,,25.87,8.984,,,,,HIP 57274,1.122,,2011
HIP 57274,d,Radial Velocity,431.70000000,1.010000,0.270000,,,,,,25.87,8.984,,,,,HIP 57274,1.122,,2011
HIP 63510,c,Imaging,,1168.000000,,6.28536,1.220,1.220,,,11.43,9.720,,,,,HIP 63510,1.480,13.675,2010
HIP 70849,b,Radial Velocity,3000.00000000,,,,,,,,23.98,10.380,,,,,HIP 70849,1.410,,2009
HIP 75458,b,Radial Velocity,511.09800000,1.275000,0.712400,,,,,,31.33,3.290,,,,HD 137759,HIP 75458,1.160,,2002
HIP 78530,b,Imaging,,,,23.04000,,,,,131.93,7.192,,,,HD 143567,HIP 78530,0.078,,2011
HIP 79431,b,Radial Velocity,111.70000000,0.360000,0.290000,,,,,,14.90,,,,,,HIP 79431,,,2010
HN Peg,b,Imaging,,773.000000,,21.99870,1.051,1.051,,,18.39,5.950,,,,HD 206860,HIP 107350,0.584,11.777,2007
HR 810,b,Radial Velocity,311.28800000,0.910000,0.240000,,,,,,17.24,5.410,,,,HD 17051,HIP 12653,0.560,,1999
HR 8799,b,Imaging,170000.00000000,68.000000,,7.00000,1.200,1.200,,,39.94,5.953,,,,HD 218396,HIP 114189,0.254,13.000,2008
HR 8799,c,Imaging,69000.00000000,38.000000,,10.00000,1.200,1.200,,,39.94,5.953,,,,HD 218396,HIP 114189,0.254,13.000,2008
HR 8799,d,Imaging,37000.00000000,24.000000,,10.00000,1.200,1.200,,,39.94,5.953,,,,HD 218396,HIP 114189,0.254,13.000,2008
HR 8799,e,Imaging,18000.00000000,14.500000,,,,,,,39.94,5.953,,,,HD 218396,HIP 114189,0.254,,2010
HW Vir,b,Eclipse Timing Variations,5767.00000000,,,19.20000,,,,,130.72,,,,,,HIP 62157,,,2008
HW Vir,c,Eclipse Timing Variations,3321.00000000,,,8.50000,,,,,130.72,,,,,,HIP 62157,,,2008
KELT-1,b,Transit,1.21751400,0.024660,0.009900,27.23000,1.110,1.110,24.70000,87.800,262.00,,6518.00,1.32,1.46,,,,12.442,2012
KELT-2A,b,Transit,4.11379120,0.054960,0.000000,1.52200,1.286,1.286,,88.600,128.50,8.713,6151.00,1.31,1.83,HD 42176,HIP 29301,0.516,14.415,2012
KOI-13,b,Transit,1.76358920,,,,1.445,1.445,,85.900,,,8511.00,2.05,1.76,,,,16.197,2011
KOI-1725,b,Transit,9.88440000,0.075100,0.000000,,0.236,0.236,,88.420,,,4240.00,0.58,0.55,,,,2.650,2011
KOI-1727,b,Transit,49.76971000,0.267200,0.000000,,0.718,0.718,,89.200,,,5619.00,1.03,1.27,,,,8.050,2011
KOI-55,b,Transit,0.24010400,0.006000,,0.00140,0.068,0.068,,65.000,1180.00,,27730.00,0.50,0.20,,,,0.759,2011
KOI-55,c,Transit,0.34288700,0.007600,,0.00210,0.077,0.077,,65.000,1180.00,,27730.00,0.50,0.20,,,,0.867,2011
Kepler-10,b,Transit,0.83749500,0.016840,0.000000,0.01400,0.126,0.126,8.80000,84.400,,,5627.00,,1.00,,,,1.416,2011
Kepler-10,c,Transit,42.29485000,0.240700,0.000000,0.06300,0.199,0.199,10.00000,89.650,,,5627.00,,1.00,,,,2.227,2011
Kepler-11,b,Transit,10.30375000,0.091000,0.000000,0.01400,0.176,0.176,3.10000,88.500,,,5685.00,,1.06,,,,1.970,2011
Kepler-11,c,Transit,13.02502000,0.106000,0.000000,0.04200,0.281,0.281,2.30000,89.000,,,5685.00,,1.06,,,,3.150,2011
Kepler-11,d,Transit,22.68719000,0.159000,0.000000,0.01900,0.306,0.306,0.90000,89.300,,,5685.00,,1.06,,,,3.430,2011
