# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Oct 20 21:07:36 2012
#
pl_hostname,pl_letter,pl_discmethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_massj,pl_radj,pl_radj,pl_dens,pl_orbincl,st_dist,st_vj,st_teff,st_mass,st_rad,hd_name,hip_name,st_bmvj,pl_rade,pl_disc
CoRoT-20,b,Transit,9.20000000,0.090200,0.562000,4.24000,0.840,0.840,,88.210,1230.00,,5880.00,1.14,1.02,,,,9.420,2011
CoRoT-23,b,Transit,3.63130000,0.048000,0.160000,2.80000,1.050,1.050,,85.700,600.00,,5900.00,1.14,1.61,,,,11.770,2011
CoRoT-3,b,Transit,4.25680000,0.057000,0.000000,21.66000,1.010,1.010,26.40000,85.900,680.00,,6740.00,1.37,1.56,,,,11.321,2008
CoRoT-4,b,Transit,9.20205000,0.090000,0.000000,0.72000,1.190,1.190,0.52500,90.000,,,6190.00,1.16,1.17,,,,13.339,2008
CoRoT-5,b,Transit,4.03789620,0.049470,0.090000,0.46700,1.388,1.388,0.21700,85.830,,,6100.00,1.00,1.19,,,,15.500,2008
CoRoT-6,b,Transit,8.88659300,0.085500,0.100000,2.96000,1.166,1.166,2.32000,89.070,,,6090.00,1.05,1.02,,,,13.068,2009
CoRoT-7,b,Transit,0.85358500,0.017200,0.000000,0.01500,0.150,0.150,5.60000,80.100,150.00,,5275.00,0.93,0.87,,,,1.680,2009
CoRoT-7,c,Radial Velocity,3.69800000,0.046000,0.000000,,,,,,150.00,,5275.00,0.93,0.87,,,,,2009
CoRoT-8,b,Transit,6.21229000,0.063000,0.000000,0.22000,0.570,0.570,1.60000,88.400,380.00,,5080.00,0.88,0.77,,,,6.389,2010
CoRoT-9,b,Transit,95.27380000,0.407000,0.110000,0.84000,1.050,1.050,0.90000,89.990,460.00,,5625.00,0.99,0.94,,,,11.769,2010
DP Leo,b,Eclipse Timing Variations,8693.00000000,8.600000,,6.28000,,,,,,,,,,,,,,2009
FU Tau,b,Imaging,,,,15.00000,,,,,,,,,,,,,,2009
Fomalhaut,b,Imaging,320000.00000000,115.000000,0.130000,3.00000,,,,,7.69,1.160,,,,HD 216956,HIP 113368,0.090,,2008
GJ 1214,b,Transit,1.58040482,,0.000000,0.02000,0.244,0.244,1.68000,90.000,13.00,14.680,2949.00,0.15,0.21,,,,2.740,2009
GJ 179,b,Radial Velocity,2288.00000000,2.410000,0.210000,,,,,,12.30,12.000,3370.00,0.36,0.38,,HIP 22627,1.520,,2010
GJ 3021,b,Radial Velocity,133.71000000,0.495000,0.511000,,,,,,17.62,6.582,5540.00,0.90,0.90,HD 1237,HIP 1292,0.770,,2000
GJ 317,b,Radial Velocity,692.00000000,1.150000,0.110000,,,,,45.000,15.10,11.970,3510.00,0.42,,,,1.500,,2007
GJ 317,c,Radial Velocity,10000.00000000,25.000000,0.810000,,,,,,15.10,11.970,3510.00,0.42,,,,1.500,,2007
GJ 3470,b,Transit,3.33714000,0.034800,0.051000,0.04410,0.375,0.375,1.07000,88.800,25.20,12.330,3600.00,0.54,0.50,,,,4.200,2012
GJ 3634,b,Radial Velocity,2.64561000,0.028700,0.080000,,,,,59.000,19.80,,,0.45,0.43,,,,,2011
GJ 433,b,Radial Velocity,7.37090000,0.058000,0.080000,,,,,,9.00,9.806,3600.00,0.48,,,HIP 56528,1.513,,2009
GJ 436,b,Radial Velocity,2.64385000,0.028500,0.160000,0.07370,0.365,0.365,2.00800,86.360,10.20,10.650,3350.00,0.46,0.45,,HIP 57087,1.520,4.091,2004
GJ 581,b,Radial Velocity,5.36865000,0.041000,0.031000,,,,,,6.21,10.560,,0.31,0.29,,HIP 74995,1.630,,2005
GJ 581,c,Radial Velocity,12.91820000,0.073000,0.070000,,,,,,6.21,10.560,,0.31,0.29,,HIP 74995,1.630,,2007
GJ 581,d,Radial Velocity,66.64000000,0.220000,0.250000,,,,,,6.21,10.560,,0.31,0.29,,HIP 74995,1.630,,2007
GJ 581,e,Radial Velocity,3.14945000,0.028000,0.320000,,,,,,6.21,10.560,,0.31,0.29,,HIP 74995,1.630,,2009
GJ 649,b,Radial Velocity,598.30000000,1.135000,0.300000,,,,,,10.34,9.690,3700.00,0.54,,,HIP 83043,1.500,,2009
GJ 667C,b,Radial Velocity,7.20066000,0.049000,0.172000,,,,,,7.20,,3600.00,0.33,,,,,,2009
